index,runs,opponent,ground,date,match,Match_No,total
0,12,SriLanka,Dambulla,2008-08-18,ODI,1,12
1,37,SriLanka,Dambulla,2008-08-20,ODI,2,49
2,25,SriLanka,Colombo(RPS),2008-08-24,ODI,3,74
3,54,SriLanka,Colombo(RPS),2008-08-27,ODI,4,128
4,31,SriLanka,Colombo(RPS),2008-08-29,ODI,5,159
5,2,SriLanka,Colombo(RPS),2009-09-14,ODI,6,161
6,16,Pakistan,Centurion,2009-09-26,ODI,7,177
8,79,WestIndies,Johannesburg,2009-09-30,ODI,8,256
9,30,Australia,Vadodara,2009-10-25,ODI,9,286
10,10,Australia,Mohali,2009-11-02,ODI,10,296
11,27,SriLanka,Rajkot,2009-12-15,ODI,11,323
12,54,SriLanka,Nagpur,2009-12-18,ODI,12,377
13,107,SriLanka,Kolkata,2009-12-24,ODI,13,484
15,9,SriLanka,Mirpur,2010-01-05,ODI,14,493
16,91,Bangladesh,Mirpur,2010-01-07,ODI,15,584
17,71,SriLanka,Mirpur,2010-01-10,ODI,16,655
18,102,Bangladesh,Mirpur,2010-01-11,ODI,17,757
19,2,SriLanka,Mirpur,2010-01-13,ODI,18,759
20,31,SouthAfrica,Jaipur,2010-02-21,ODI,19,790
22,57,SouthAfrica,Ahmedabad,2010-02-27,ODI,20,847
23,0,Zimbabwe,Bulawayo,2010-05-28,ODI,21,847
24,82,SriLanka,Bulawayo,2010-05-30,ODI,22,929
25,18,Zimbabwe,Harare,2010-06-03,ODI,23,947
26,68,SriLanka,Harare,2010-06-05,ODI,24,1015
27,26,Zimbabwe,Harare,2010-06-12,T20,25,1041
29,11,Bangladesh,Dambulla,2010-06-16,ODI,26,1052
30,18,Pakistan,Dambulla,2010-06-19,ODI,27,1070
31,10,SriLanka,Dambulla,2010-06-22,ODI,28,1080
32,28,SriLanka,Dambulla,2010-06-24,ODI,29,1108
33,0,SriLanka,Dambulla,2010-08-16,ODI,30,1108
34,8,NewZealand,Dambulla,2010-08-25,ODI,31,1116
35,37,SriLanka,Dambulla,2010-08-28,ODI,32,1153
36,118,Australia,Visakhapatnam,2010-10-20,ODI,33,1271
37,105,NewZealand,Guwahati,2010-11-28,ODI,34,1376
38,64,NewZealand,Jaipur,2010-12-01,ODI,35,1440
39,63,NewZealand,Vadodara,2010-12-04,ODI,36,1503
40,0,NewZealand,Bengaluru,2010-12-07,ODI,37,1503
41,2,NewZealand,Chennai,2010-12-10,ODI,38,1505
